uid,created_date,survival_time,country,have_services,log_score,label
196,2022-08-04,156.0,US,0,-3.90138771133189,scam
197,2022-08-26,145.0,-,0,-199833.49873295912,scam
198,2022-10-17,89.0,US,0,-25263.44465193851,scam
199,2021-10-08,467.0,FI,0,-300.3232461977317,scam
200,2022-10-19,91.0,-,0,-199833.49873295912,scam
201,2022-05-11,251.0,US,0,-100652.65205617686,scam
202,2022-06-03,218.0,US,0,-5879.034919654398,scam
203,2022-05-05,258.0,TW,0,-17.908957546641684,scam
204,2022-11-29,46.0,HK,1,-13.166786655943785,scam
205,2022-06-21,211.0,US,0,-1785.1978816246228,scam
206,2022-09-07,133.0,US,1,-226.43505064253847,scam
207,2022-05-23,240.0,US,0,-100652.65205617686,scam
208,2021-07-23,543.0,US,0,-199833.49873295912,scam
209,2019-12-17,1127.0,FR,0,-8736.17105438239,scam
210,2018-12-17,1489.0,US,0,-5879.034919654398,scam
211,2022-09-27,113.0,HK,0,-4270.212508257218,scam
212,2022-07-28,174.0,US,0,-464.31112054588607,scam
213,2022-07-23,178.0,US,0,-5879.034919654398,scam
214,2022-05-17,245.0,US,0,-983.7041631339956,scam
215,2022-09-23,117.0,HK,0,-221.73730981109512,scam
216,2022-08-28,143.0,US,0,-5847.048756281419,scam
217,2022-08-19,148.0,HK,0,-4270.212508257218,scam
218,2022-10-11,99.0,NL,0,-147.4164810615439,scam
219,2021-05-23,605.0,US,1,-199833.49873295912,scam
220,2022-10-20,86.0,ZA,0,-22.00426772644601,scam
221,2022-09-25,104.0,AU,0,-187.2638015516055,scam
222,2022-11-03,76.0,-,0,-199833.49873295912,scam
223,2021-12-09,405.0,US,0,-100652.65205617686,scam
224,2022-09-29,111.0,-,0,-199833.49873295912,scam
225,2022-02-22,330.0,US,0,-15848.311120545886,scam
226,2022-02-21,330.0,CA,1,-199833.49873295912,scam
227,2022-01-04,375.0,US,0,-100652.65205617686,scam
228,2022-07-08,194.0,CA,0,-8736.17105438239,scam
229,2022-10-27,79.0,US,0,-5879.034919654398,scam
230,2021-03-18,660.0,CN,0,-761.2864279332957,scam
231,2022-10-07,92.0,NO,0,-48.44465193851059,scam
